10.177,10.843
10.706,10.812
9.486,9.373
9.916,10.088
9.414,8.829
10.230,10.895
10.285,10.622
10.065,10.093
11.861,9.012
8.683,8.971
9.838,10.604
11.393,9.674
10.440,9.692
10.050,8.267
9.791,8.571
9.494,9.939
9.643,9.780
10.508,9.536
10.414,10.952
7.522,9.342
30.405,10.026
30.702,9.930
30.471,9.421
30.403,10.004
29.526,8.468
32.414,10.431
29.776,7.469
29.533,9.504
31.751,10.212
29.664,11.066
30.253,9.649
29.489,10.192
29.591,10.921
30.171,8.712
30.585,9.437
29.574,11.161
30.258,8.600
30.040,8.863
30.747,7.565
29.522,10.646
48.938,11.412
50.525,10.205
49.567,11.213
51.799,8.994
49.218,9.299
50.405,9.886
50.722,11.725
51.010,9.553
50.995,9.297
51.124,9.802
48.720,11.293
50.001,10.578
49.068,8.729
50.939,12.266
48.576,10.022
49.282,11.270
52.121,8.833
50.393,10.468
50.270,9.942
48.392,10.342
68.550,8.830
68.434,10.040
69.063,10.557
71.533,10.721
71.858,11.298
69.459,9.308
67.909,11.039
72.696,10.522
69.215,10.293
71.436,7.588
68.988,11.604
70.532,10.061
69.828,9.310
70.029,9.378
68.731,10.621
69.418,11.394
67.463,8.549
69.351,10.691
68.028,9.501
70.772,10.401
90.694,9.317
90.568,10.976
90.632,10.562
91.045,10.360
89.854,10.323
90.492,9.505
91.027,9.974
90.013,11.316
89.467,9.706
90.565,10.756
90.451,11.636
89.342,10.172
89.395,10.527
90.935,9.700
90.450,11.260
90.078,9.768
88.987,10.277
90.513,9.858
90.305,9.794
89.903,9.436
111.332,9.907
109.185,9.210
110.155,10.167
108.903,11.892
111.318,11.071
108.197,11.804
109.721,11.426
110.606,10.512
110.654,8.655
111.875,10.630
111.746,10.852
107.742,8.291
111.372,9.056
111.540,10.066
111.528,9.422
109.852,9.576
110.380,9.396
107.777,10.165
109.450,10.518
109.252,9.945
131.810,10.851
130.614,9.858
130.124,10.566
128.902,10.748
131.151,11.164
130.808,12.123
129.758,9.765
130.443,9.557
129.710,9.521
132.078,9.998
128.927,8.845
130.060,10.032
129.850,11.053
129.430,10.922
132.084,9.123
128.789,10.476
130.720,9.449
129.868,11.657
129.624,8.299
131.107,10.525
149.644,9.133
151.491,8.252
150.234,9.359
148.752,8.845
150.659,10.210
150.738,10.037
152.249,10.750
150.920,8.813
150.523,11.419
149.170,11.127
149.891,9.762
147.900,10.721
150.029,9.736
150.982,10.525
150.025,9.049
149.751,8.767
149.820,9.316
151.622,9.281
149.040,8.947
149.930,10.399
